Player,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Jason Roy,England,Right hand Bat,,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319791.png",If there was any doubt over the value of Jason Roy to England's limited-overs team - and there probably shouldn't have been - it was dispelled on the way to their World Cup triumph of 2019.
Tom Banton,England,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323099.png","Tom Banton was the breakout star of the 2019 domestic season as his flamboyant strokemaking at the top of the Somerset order catapulted him into England's T20 squad and drew attention from franchises from around the world. A tall, inventive player who has drawn regular comparisons with Kevin Pietersen and Jos Buttler, Banton's most eye-catching shots are his hockey-inspired reverse-slaps and scoops, though he is equally adept driving straight down the ground and hitting through midwicket. "
James Vince,England,Right hand Bat,Right arm Medium,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323001.png","With a wide range of strokes and an ability to time the ball shared by few, it was understandable that England's selectors kept providing opportunities to James Vince."
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316557.png","Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Eoin Morgan,England,Left hand Bat,Right arm Medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316564.png","Eoin Morgan became England's ODI captain in slightly chaotic circumstances less than two months before the 2015 World Cup and was less than enamoured with an entirely inadequate campaign. What he observed, not just from his own side's lacklustre display, but the inspiration provided by Brendon McCullum's New Zealand side, convinced him an entirely new approach was necessary, with a policy of no fear (and no retribution) at its heart. It required a man of strong will not just to say it, but to implement it, but Morgan did so, seeking to fashion an England side that would play with courage and be impervious to pressure or criticism."
Samuel Billings,England,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322932.png","Sam Billings, an energetic and inventive wicketkeeper-batter with a penchant for the white-ball game, slots into a long line of illustrious Kent keepers including Les Ames, Godfrey Evans, Alan Knott and Geraint Jones. Billings is an all-round sportsman who turned down a football trial with Tottenham Hotspur to go on a cricket tour at county level, once woke up in an infirmary after being spear tackled in a rugby union game, achieved county junior level in tennis, and is highly adept at squash and racquets."
Liam Dawson,England,Right hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323109.png","The selection of Liam Dawson in England's World T20 squad in 2016 carried a message of hope for all cricketers dutifully plying their trade on the county circuit. In Hampshire's T20 campaign of 2015 Dawson played two games, scored three runs in one knock and did not take a wicket; he scored three in his solitary T20 innings. With his career faltering, he was loaned out to Essex for a month. Then, on his return to Hampshire, came a remarkable transformation."
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316623.png","Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. "
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319741.png","Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
Saqib Mahmood,England,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323019.png","Saqib Mahmood announced himself as a bowler of international class during England's ODI series against Pakistan in 2021. England were forced to pick a completely new squad at short notice after a number of Covid-19 cases were detected in their initial group leaving Mahmood to take the new ball in the first ODI in Cardiff; he dismissed Imam-ul-Haq and Babar Azam inside three balls, finished with 4 for 42, and was named player of the series as England romped to a 3-0 win."
Tymal Mills,England,Right hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323104.png","Tymal Mills won an England recall for the 2021 T20 World Cup after four-and-a-half years in the international wilderness, during which time regular injuries had threatened his career. Mills, one of the most explosive fast bowlers in English cricket and an innovative thinker about the short-form game, was diagnosed with a congenital back condition in 2015 - his spinal cord and vertebrae are unusually close together and bowling fast too often can agitate his spinal cord - which consigned him to a career as a T20 specialist but he embraced life on the franchise circuit."
Brandon King,West Indies,Right hand Bat,,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321983.png","Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
Shai Hope,West Indies,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320122.png","Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley."
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320109.png","Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful."
Darren Bravo,West Indies,Left hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316616.png","Darren Bravo is living proof that imitation is the best form of flattery and learning. Only he chose to do it with one of the most inimitable masters of the game. To try to imitate is one thing, to pull it off at Test level, to imbibe it so much that it becomes you, is quite another. Brian Lara's cousin and Dwayne Bravo's half-brother, the younger Bravo, used to watch cricket only for Lara. As soon as Lara would get out, Bravo would switch off the TV and go out to bat."
Kieron Pollard,West Indies,Right hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320107.png","Kieron Pollard had a batting average of 11.30 from 15 ODIs and 17.20 from 10 T20Is when he became the joint-biggest buy at the IPL player auction in January 2010. Mumbai Indians weren't paying $750,000 (plus an undisclosed amount to break a tie with three other franchises) for Pollard's international record; they were shelling out all that money for the fearsome hitting power he had shown in domestic T20 action - most notably while smashing 54 off 18 balls for T&T against New South Wales during the 2009 Champions League T20."
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316673.png","Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. "
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321939.png","Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322172.png","A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323103.png","The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine."
